# DDD Analysis Dataset Generated: 2025-10-06 21:21:27
# AOI Center: 45.464200, 9.191400
# AOI Radius: 1500 meters
# Buffer Distance: 1000 meters
# Total Features: 926
# Source PBF: nord-ovest-latest.osm.pbf
#
# Column descriptions:
# - osm_id: OpenStreetMap element ID
# - name: Name of the facility (if available)
# - kind: Category (supermarket, poi, or control)
# - subcategory: Specific OSM tag value (supermarket, bakery, butcher, etc.)
# - source: OSM element type (node or area)
# - zone: Whether in AOI or buffer zone
# - lat, lon: Coordinates in WGS84
# - timestamp: OSM creation timestamp (proxy for opening date)
# - distance_to_duomo_m: Distance to Duomo di Milano in meters
#
# Treatment POI Categories: bakery, greengrocer, butcher, convenience
# Supermarket Category: supermarket
# Control Categories (AOI only): funeral_directors, hairdresser, restaurant
#
osm_id,name,kind,subcategory,source,zone,lat,lon,timestamp,distance_to_duomo_m
2116897931,U2,supermarket,supermarket,node,buffer,45.4756863,9.2071426,2024-05-23 19:41:29,1772.8180235031982
2131565356,Macelleria Faravelli,poi,butcher,node,aoi,45.4562366,9.1873311,2025-07-18 16:03:08,940.862937617555
2172254735,Papà Francesco,control,restaurant,node,aoi,45.4663029,9.1903964,2025-06-16 14:50:12,244.86712787992806
2178224046,NaturaSì,supermarket,supermarket,node,buffer,45.4743957,9.2086146,2024-05-04 16:57:03,1759.1571237801288
2195525291,Panificio Pasticceria Valeria Contu,poi,bakery,node,buffer,45.4784462,9.213732,2018-10-20 07:35:05,2356.4641412610554
2199853258,Mar'è,control,restaurant,node,aoi,45.4628503,9.1992013,2023-04-16 12:50:49,629.6313123553335
2211158474,Delicatessen,poi,bakery,node,buffer,45.4809918,9.2113601,2024-11-07 15:24:09,2431.8518989764416
2211158476,Forno pasticceria Panificio Le Ragazze,poi,bakery,node,buffer,45.4780061,9.2145513,2024-05-19 08:03:54,2372.455907150383
2226474648,Le Banque,control,restaurant,node,aoi,45.4661825,9.1868875,2018-01-20 08:37:38,414.1018800511988
2226508083,Piccolo PAN,poi,bakery,node,buffer,45.4578113,9.1717647,2025-07-12 13:35:19,1690.5529681037378
2226730506,Cacio e Pepe,control,restaurant,node,aoi,45.4529029,9.1820561,2025-08-06 15:20:27,1452.5925594080356
2226730509,Shiva,control,restaurant,node,aoi,45.4528707,9.1824026,2025-08-06 15:20:27,1442.3072463926196
2272594738,Il fornaio,poi,bakery,node,buffer,45.4838972,9.1826289,2013-04-19 12:11:24,2291.613120332264
2278732840,Pan per focaccia,poi,bakery,node,buffer,45.4530701,9.1669967,2024-03-05 21:21:59,2273.136499624662
2280244182,Tasca,control,restaurant,node,aoi,45.4591926,9.1810141,2024-03-10 08:26:41,983.8567662408134
2280247232,Hot rock Restaurant & Bar,control,restaurant,node,aoi,45.4561817,9.1813284,2025-03-25 13:45:30,1188.9701143238597
2288513990,Carrefour Express,poi,convenience,node,buffer,45.4770487,9.2011876,2024-05-04 16:57:03,1619.1042772839833
2288925770,Latteria 78,control,restaurant,node,aoi,45.4553544,9.2025804,2025-07-08 13:44:56,1317.0170130681024
2288925772,Tatì Kids,control,hairdresser,node,aoi,45.4554526,9.2025649,2013-05-02 10:31:44,1308.0757973006766
2297227013,Forno Ambrosiano,poi,bakery,node,buffer,45.4516136,9.2076082,2021-11-27 10:36:41,1888.9022012113915
2298802278,Anteri,poi,bakery,node,buffer,45.4528229,9.1702202,2023-03-09 22:58:23,2082.8770822573447
2302963473,Oldani,poi,butcher,node,aoi,45.4654999,9.1809746,2025-07-29 13:08:00,826.186352899395
2302963474,La Colonna,control,restaurant,node,aoi,45.4654098,9.1811259,2025-07-29 13:08:00,812.8406512847565
2303121549,Carlo e Camilla in Duomo,control,restaurant,node,aoi,45.4639216,9.18716,2019-09-14 11:27:54,331.7020393541452
2309799431,Rugantino,control,restaurant,node,aoi,45.4577001,9.180808,2024-05-25 15:31:06,1098.5252974833668
2320484020,Carrefour Express,poi,convenience,node,aoi,45.4658642,9.1948701,2025-07-15 10:03:48,328.70429414811355
2323712370,Pan Brioche,poi,bakery,node,aoi,45.466199,9.1920976,2013-05-28 21:41:17,227.8158085924487
2324825971,Vòce Aimo e Nadia,control,restaurant,node,aoi,45.4673709,9.190242,2024-12-01 16:46:37,362.209031489945
2325762976,Carrefour,supermarket,supermarket,node,buffer,45.4748829,9.2174501,2021-07-10 09:32:40,2357.47129176732
2338459179,Il Viaggiator Goloso,supermarket,supermarket,node,buffer,45.4516515,9.2092942,2022-05-26 17:43:23,1976.867690456704
2340989640,13 Giugno di Brera,control,restaurant,node,aoi,45.4754493,9.1892887,2017-04-29 08:58:11,1259.2262542419737
2356391601,Flash,control,restaurant,node,aoi,45.4623234,9.1939118,2023-04-15 22:32:20,288.2019595796778
2356391605,IDOLA saloon,control,hairdresser,node,aoi,45.4628758,9.1943049,2022-04-06 14:19:44,272.36441554116806
2383340287,Carrefour Express,poi,convenience,node,buffer,45.4455543,9.1760114,2025-01-11 11:07:04,2395.9577403211433
2399476439,Number One,control,hairdresser,node,aoi,45.4554954,9.1964562,2025-06-28 15:14:07,1046.3621655231493
2399646188,Gino's,control,restaurant,node,aoi,45.4656684,9.1910681,2022-11-03 15:04:00,163.77309958855452
2406983947,Carrefour Express,poi,convenience,node,aoi,45.4677447,9.1758834,2025-07-19 09:28:27,1273.6782236540164
2407086047,Mozzarella e basilico,control,restaurant,node,aoi,45.4646919,9.1939768,2015-09-18 21:26:55,209.6936081264719
2407086051,Ristorante Replay,control,restaurant,node,aoi,45.4645936,9.1938567,2022-07-14 19:58:33,198.00078563580414
2409197188,Panificio Spagnolo,poi,bakery,node,buffer,45.4497284,9.2057076,2019-09-24 15:10:07,1960.3966214944128
2409680274,Cinque Vie,control,restaurant,node,aoi,45.4635997,9.1840115,2024-04-04 13:02:12,580.269018501045
2409840799,Carrefour Express,poi,convenience,node,buffer,45.4828629,9.2069168,2021-01-02 16:59:42,2401.689035216772
2411458278,Gel Market,supermarket,supermarket,node,buffer,45.457725,9.2131405,2024-12-20 14:57:58,1847.35090195951
2411481228,Davide Longoni,poi,bakery,node,buffer,45.4535411,9.2091141,2020-02-28 18:17:46,1823.9898676177925
2413705097,Salsamenteria di Parma,control,restaurant,node,aoi,45.4663314,9.1953624,2025-07-15 10:07:57,390.2176478148953
2417414842,Ristorante Nabucco,control,restaurant,node,aoi,45.4722447,9.1868862,2022-09-10 12:54:07,959.2467159292414
2417414843,Rosso di Brera,control,restaurant,node,aoi,45.4717843,9.1860825,2024-09-01 16:11:54,937.8620533647186
2417414845,Taverna del Borgo Antico,control,restaurant,node,aoi,45.4717191,9.1855062,2025-03-01 17:39:34,952.2663608728141
2432133671,Carrefour Express,poi,convenience,node,aoi,45.4570986,9.1900534,2023-05-21 12:35:05,796.9718942575013
2432508784,,poi,bakery,node,aoi,45.4553222,9.1873462,2013-08-26 16:38:49,1036.723238765544
2434270037,Focacceria Genovesi,poi,bakery,node,aoi,45.4560664,9.1839142,2021-06-21 17:24:17,1076.8941627104527
2434270046,OK Sigma Drogheria Santacroce,supermarket,supermarket,node,aoi,45.4558149,9.183626,2021-12-10 10:57:29,1112.595583749251
2447394510,,control,hairdresser,node,aoi,45.4612643,9.1860843,2025-08-23 14:58:22,527.9855231057606
2447394512,Alla collina pistoiese,control,restaurant,node,aoi,45.4605317,9.1864074,2021-03-03 18:41:29,564.2644700151075
2447394518,Bio Pizza,control,restaurant,node,aoi,45.4580759,9.1875313,2013-10-16 13:14:48,745.145629190532
2447394520,.jpeg,control,restaurant,node,aoi,45.4576253,9.1874678,2015-03-01 16:15:21,793.0978179493275
2447394522,Papas and Beer,control,restaurant,node,aoi,45.4561505,9.1873092,2022-10-09 13:12:09,950.4477839640128
2447621200,Caffè Italia,control,restaurant,node,aoi,45.4566959,9.1873234,2023-06-23 22:38:51,893.1941524532883
